Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_TERJESKILL_BOOK_IMMUNITY1,1. Immunity for Beginners,1. Immunity for Beginners,Imunita pro nováčky,1. Immunität für Anfänger,Иммунитет для новичков,Odporność dla początkujących,Immunitás kezdőknek,Immunità per principianti,Inmunidad para principiantes,Immunité pour les débutants,入門免疫學,初心者のための免疫,Imunidade para iniciantes,初学者免疫力
STR_TERJESKILL_BOOK_IMMUNITY2,2. Immunity Fundamentals,2. Immunity Fundamentals,Imunita pro pokročilé začátečníky,2. Grundlagen der Immunität,Иммунитет для продвинутых новичков,Odporność dla zaawansowanych początkujących,Immunitás a fejlett kezdőknek,Immunità per principianti avanzati,Inmunidad para principiantes avanzados,Immunité pour les débutants avancés,進階入門免疫學,上級初心者のための免疫力,Imunidade para iniciantes avançados,高级初学者的免疫力
STR_TERJESKILL_BOOK_IMMUNITY3,3. Advanced Immunity Techniques,3. Advanced Immunity Techniques,Imunita na střední úrovni,3. Fortgeschrittene Immunitätstechniken,Иммунитет для среднего уровня,Odporność na średniozaawansowany,Immunitás az átlagos szintre,Immunità per il livello intermedio,Inmunidad para el nivel medio,Immunité pour le niveau intermédiaire,中級免疫學,平均レベルの免疫,Imunidade de nível médio,平均水平的免疫力
STR_TERJESKILL_BOOK_IMMUNITY4,4. Professional Immunity Strategies,4. Professional Immunity Strategies,Imunita pro zkušené,4. Professionelle Immunitätsstrategien,Иммунитет для опытных,Immunitet dla doświadczonych,Immunitás a tapasztalt számára,Immunità per esperti,Inmunidad para los experimentados,Immunité pour les expérimentés,高級免疫學,経験豊富な人のための免疫,Imunidade para experientes,有经验人士的豁免权
STR_TERJESKILL_BOOK_IMMUNITY5,5. Expert-Level Immunity,5. Expert-Level Immunity,Imunita pro odborníky,5. Immunität auf Expertenniveau,Иммунитет для экспертов,Immunitet dla ekspertów,Mentesség a szakértők számára,Immunità per esperti,Inmunidad para expertos,Immunité des experts,專家級免疫學,専門家のための免疫,Imunidade para especialistas,专家豁免权
STR_TERJESKILL_BOOK_MEDICINE1,1. Medicine for Beginners,1. Medicine for Beginners,Medicína pro začátečníky,1. Medizin für Anfänger,Медицина для новичков,Medycyna dla początkujących,Gyógyszer kezdőknek,Medicina per principianti,Medicina para principiantes,Médecine pour les débutants,入門醫學,初心者のための薬,Medicina para iniciantes,初学者用药
STR_TERJESKILL_BOOK_MEDICINE2,2. Medicine Fundamentals,2. Medicine Fundamentals,Medicína pro pokročilé nováčky,2. Grundlagen der Medizin,Медицина для продвинутых новичков,Medycyna Dla zaawansowanych początkujących,Orvostudomány haladó kezdőknek,Medicina per principianti avanzati,Medicina para principiantes avanzados,Médecine pour les débutants avancés,進階入門醫學,上級初心者のための薬,Medicina para iniciantes avançados,高级初学者用药
STR_TERJESKILL_BOOK_MEDICINE3,3. Advanced Medicine Techniques,3. Advanced Medicine Techniques,Medicína na střední úrovni,3. Fortgeschrittene medizinische Techniken,Медицина для среднего уровня,Medycyna dla średnio zaawansowanych,Gyógyszer az átlagos szintre,Medicina di livello intermedio,Medicina de nivel medio,Médecine de niveau intermédiaire,中級醫學,平均レベルのための薬,Medicina de nível médio,平均水平的药物
STR_TERJESKILL_BOOK_MEDICINE4,4. Professional Medicine Strategies,4. Professional Medicine Strategies,Medicína pro zkušené,4. Professionelle medizinische Strategien,Медицина для опытных,Medycyna Dla Doświadczonych,Gyógyszer a tapasztalt,Medicina per esperti,Medicina para experimentados,Médecine pour les expérimentés,高級醫學,経験豊富な人のための薬,Medicina para experientes,有经验的药物
STR_TERJESKILL_BOOK_MEDICINE5,5. Expert-Level Medicine,5. Expert-Level Medicine,Medicína pro odborníky,5. Medizin auf Expertenniveau,Медицина для экспертов,Medycyna dla ekspertów,Orvostudomány szakértők számára,Medicina per esperti,Medicina para expertos,Médecine pour les experts,專家級醫學,専門家のための薬,Medicina para especialistas,专家用药
