Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp

"STR_TERJEDRINK_MADBULL_NAME","MadBull® Energy Drink","MadBull® Energy Drink","Energie MadBull®","MadBull® Energieträger","Энергетик MadBull®","Energetyk MadBull®","Madbull Blokkok Energiaital","Energia MadBull®","Energía MadBull®","Boisson Énergisante MadBull®","MadBull® 能量飲料","MadBull®エナジードリンク","Energia MadBull®","马德布尔能量饮料",
"STR_TERJEDRINK_MADBULL_DESC","When wings are needed for survival, MadBull will provide a powerful burst of vigor and strength. This drink will cheer up and keep the character active, helping not to think about sleep for a long time. Just be careful: the powerful formula leaves no room for fatigue.","When wings are needed for survival, MadBull will provide a powerful burst of vigor and strength. This drink will cheer up and keep the character active, helping not to think about sleep for a long time. Just be careful: the powerful formula leaves no room for fatigue.","Když potřebujete křídla k přežití, MadBull poskytne silný příliv energie a síly. Tento nápoj povzbudí a podpoří aktivitu postavy, což vám pomůže dlouho nemyslet na spánek. Jen pozor: silný vzorec nezanechává prostor pro únavu.","Wenn Flügel zum Überleben benötigt werden, wird der MadBull einen kraftvollen Ansturm von Vitalität und Kraft liefern. Dieses Getränk wird den Charakter aufmuntern und aktiv halten und hilft, lange Zeit nicht an Schlaf zu denken. Nur Vorsicht: Eine starke Formel lässt keinen Raum für Ermüdung.","Когда нужны крылья для выживания, MadBull обеспечит мощный прилив бодрости и сил. Этот напиток взбодрит и поддержит активность персонажа, помогая не думать о сне в течение долгого времени. Только осторожнее: мощная формула не оставляет места для усталости.","Gdy potrzebujesz skrzydeł do przetrwania, MadBull zapewni potężny przypływ wigoru i energii. Ten napój ożywi i utrzyma twoją postać na odpowiednim poziomie sprawności, pomagając ci nie myśleć o śnie przez długi czas. Tylko uwaga: potężna formuła nie pozostawia miejsca na zmęczenie.","Amikor szárnyakra van szükség a túléléshez, MadBull erőteljes lendületet és erőt ad. Ez az ital felvidítja és aktívan tartja a karaktert, segítve, hogy hosszú ideig ne gondoljon az alvásra. Csak légy óvatos: az erőteljes formula nem hagy helyet a fáradtságnak.","Quando hai bisogno di ali per sopravvivere, MadBull fornirà un potente impulso di vigore e forza. Questa bevanda ravviverà e manterrà attivo il personaggio, aiutandoti a non pensare al sonno per molto tempo. Solo più attento: la potente formula non lascia spazio alla fatica.","Cuando se necesitan alas para sobrevivir, MadBull proporcionará una poderosa oleada de vigor y fuerza. Esta bebida animará y apoyará la actividad del personaje, ayudando a no pensar en dormir durante mucho tiempo. Solo tenga cuidado: la poderosa fórmula no deja espacio para la fatiga.","Lorsque des ailes sont nécessaires pour survivre, MadBull fournira une puissante poussée de vigueur et de force. Cette boisson dynamisera et maintiendra le personnage actif, aidant à ne pas penser au sommeil pendant longtemps. Soyez simplement prudent : la formule puissante ne laisse aucune place à la fatigue.","當生存需要翅膀時，MadBull將提供強大的活力和力量。 這種飲料會振作起來，保持角色活躍，有助于長時間不考慮睡眠。 只要小心：強大的配方不會留下疲勞的空間。","翼が生存のために必要とされるとき、MadBullは活力と強さの強力な急増を提供します。 この飲み物は元気を出し、キャラクターを活発に保ち、長い間睡眠について考えないようにします。 ただ注意してください：強力な式は疲労の余地を残さない。","Quando você precisa de asas para sobreviver, MadBull fornece uma poderosa onda de vigor e força. Esta bebida irá animar e apoiar a atividade do personagem, ajudando a não pensar em dormir por um longo tempo. Mas cuidado: a poderosa fórmula não deixa espaço para o cansaço.","当生存需要翅膀时，MadBull将提供强大的活力和力量。 这种饮料会振作起来，保持角色活跃，有助于长时间不考虑睡眠。 只要小心：强大的配方不会留下疲劳的空间。",

"STR_TERJEDRINK_GANG_NAME","Gang® Energy Drink","Gang® Energy Drink","Power Gang®","Energie-Gang®","Энергетик Gang®","Energy Gang®","Gang Ons Energy Drink","Energia Gang®","Energía Gang®","Boisson Énergisante Gang®","Gang® 能量飲料","Gang®エナジードリンク","Energia Gang®","帮派能量饮料",
"STR_TERJEDRINK_GANG_DESC","Gang is your ally against fatigue, giving cheerfulness on the verge of possibilities. One sip and sleep fades into the background, giving way to strength and concentration. Suitable for those who do not intend to retreat, even when their strength is running out.","Gang is your ally against fatigue, giving cheerfulness on the verge of possibilities. One sip and sleep fades into the background, giving way to strength and concentration. Suitable for those who do not intend to retreat, even when their strength is running out.","Gang je tvůj spojenec proti únavě, který dává energii na pokraji možností. Jeden doušek-a spánek ustupuje do pozadí, ustupuje síle a koncentraci. Vhodné pro ty, kteří nehodlají ustoupit, i když jsou síly na konci.","Gang ist dein Verbündeter gegen Müdigkeit, der am Rande der Möglichkeiten Lebhaftigkeit gibt. Ein Schluck - und der Schlaf tritt in den Hintergrund und weicht Kraft und Konzentration ab. Geeignet für diejenigen, die sich nicht zurückziehen wollen, selbst wenn die Kräfte knapp sind.","Gang — это твой союзник против усталости, дарящий бодрость на грани возможностей. Один глоток — и сон отходит на второй план, уступая место силе и концентрации. Подходит для тех, кто не намерен отступать, даже когда силы на исходе.","Gang jest Twoim sprzymierzeńcem w walce ze zmęczeniem, dodając Ci wigoru na granicy Twoich możliwości. Jeden łyk i sen schodzi na dalszy plan, ustępując miejsca sile i koncentracji. Odpowiedni dla tych, którzy nie zamierzają się wycofywać, nawet gdy ich siły są na wyczerpaniu.","A banda a szövetségese a fáradtság ellen, vidámságot adva a lehetőségek szélén. Egy korty és alvás elhalványul a háttérben, utat engedve az erőnek és a koncentrációnak. Alkalmas azok számára, akik nem szándékoznak visszavonulni, még akkor is, ha erejük elfogy.","Gang è il tuo alleato contro la fatica, dando vigore al limite delle possibilità. Un sorso-e il sonno passa in secondo piano, lasciando il posto a forza e concentrazione. Adatto a coloro che non intendono ritirarsi, anche quando le forze si stanno esaurendo.","Gang es tu aliado contra la fatiga, dando alegría al borde de las oportunidades. Un sorbo-y el sueño se desvanece en el fondo, dando paso a la fuerza y la concentración. Adecuado para aquellos que no tienen la intención de retirarse, incluso cuando la fuerza se está agotando.","Gang est votre allié contre la fatigue, donnant de la vigueur à la limite des possibilités. Une gorgée et le sommeil passe au second plan, laissant place à la force et à la concentration. Convient à ceux qui n'ont pas l'intention de reculer, même lorsque leurs forces s'épuisent.","幫派是你對抗疲勞的盟友，在可能性的邊緣給予快樂。 一小口，睡眠就消失在背景中，讓位于力量和注意力。 適合那些不打算撤退的人，即使他們的力量已經耗盡。","ギャングは疲労に対するあなたの味方であり、可能性の危機に瀕して陽気さを与えます。 一口と睡眠は、強さと集中への道を与え、背景にフェードインします。 彼らの強さがなくなっているときでさえ、後退するつもりがない人に適しています。","Gang é seu aliado contra a fadiga, dando vivacidade à beira das possibilidades. Um gole e o sono desaparece em segundo plano, dando lugar à força e à concentração. Adequado para aqueles que não pretendem recuar, mesmo quando as forças estão se esgotando.","帮派是你对抗疲劳的盟友，在可能性的边缘给予快乐。 一小口，睡眠就消失在背景中，让位于力量和注意力。 适合那些不打算撤退的人，即使他们的力量已经耗尽。",

"STR_TERJEDRINK_YAGUAR_NAME","Yaguar® Energy Drink","Yaguar® Energy Drink","Energie Yaguar®","Yaguar® Energietechniker","Энергетик Yaguar®","Energetyk Yaguar®","Yaguar® Energy Drink","Yaguar®","Energía Yaguar®","Boisson Énergisante Yaguar®","Yaguar® 能量飲料","ヤグアル®エナジードリンク","Energia Yaguar®","雅瓜尔能量饮料",
"STR_TERJEDRINK_YAGUAR_DESC","Yaguar's predatory energy is designed for those who want to make the most of their time. The shock composition of the drink stimulates activity, allowing you to forget about sleep and focus on actions. A quick effect that will awaken your instincts and will not let you weaken.","Yaguar's predatory energy is designed for those who want to make the most of their time. The shock composition of the drink stimulates activity, allowing you to forget about sleep and focus on actions. A quick effect that will awaken your instincts and will not let you weaken.","Dravá energie Yaguar je vytvořena pro ty, kteří chtějí ze svého času vymáčknout maximum. Rázové složení nápoje stimuluje aktivitu, což vám umožní zapomenout na spánek a soustředit se na akce. Rychlý efekt, který probudí instinkty a nenechá se oslabit.","Die Raubkraft von Yaguar ist für diejenigen geschaffen, die das Beste aus ihrer Zeit herausholen wollen. Die Schockzusammensetzung des Getränks stimuliert die Aktivität, so dass Sie den Schlaf vergessen und sich auf Aktivitäten konzentrieren können. Ein schneller Effekt, der Instinkte weckt und nicht nachlässt.","Хищная энергия Yaguar создана для тех, кто хочет выжать максимум из своего времени. Ударный состав напитка стимулирует активность, позволяя забыть о сне и сосредоточиться на действиях. Быстрый эффект, который разбудит инстинкты и не даст ослабеть.","Drapieżna energia Yaguar została stworzona z myślą o tych, którzy chcą maksymalnie wykorzystać swój czas. Mocny skład napoju pobudza do działania, pozwalając zapomnieć o śnie i skupić się na działaniu. Szybki efekt, który obudzi instynkty i sprawi, że nie przestaniesz działać.","A Yaguar ragadozó energiáját azok számára tervezték, akik a legtöbbet akarják kihozni az idejükből. Az ital sokkösszetétele serkenti az aktivitást, lehetővé téve, hogy elfelejtse az alvást és összpontosítson a cselekvésekre. Gyors hatás, amely felébreszti az ösztöneit, és nem engedi, hogy gyengüljön.","L'energia predatoria di Yaguar è stata creata per coloro che vogliono spremere il massimo dal loro tempo. La composizione shock della bevanda stimola l'attività, permettendoti di dimenticare il sonno e concentrarti sulle azioni. Un rapido effetto che risveglierà gli istinti e non ti permetterà di indebolirti.","La energía depredadora de Yaguar está hecha para aquellos que quieren sacar el máximo provecho de su tiempo. La composición de choque de la bebida estimula la actividad, lo que le permite olvidarse del sueño y concentrarse en las actividades. Un efecto rápido que despertará los instintos y no dejará que se debiliten.","L'énergie prédatrice de Yaguar est conçue pour ceux qui veulent tirer le meilleur parti de leur temps. La composition choc de la boisson stimule l'activité, permettant d'oublier le sommeil et de se concentrer sur l'action. Un effet rapide qui éveillera vos instincts et ne vous laissera pas faiblir.","捷豹的掠奪性能量是為那些想充分利用他們的時間的人設計的。 飲料的沖擊成分刺激活動，讓您忘記睡眠並專注于行動。 一個快速的效果，將喚醒你的本能，不會讓你削弱。","ジャガーの略奪的なエネルギーは、自分の時間を最大限に活用したい人のために設計されています。 飲み物のショック組成は活動を刺激し、あなたが睡眠を忘れて行動に集中することを可能にします。 あなたの本能を目覚めさせ、あなたを弱めることはできません迅速な効果。","A energia predatória do Yaguar foi criada para aqueles que querem tirar o máximo proveito de seu tempo. A composição de choque da bebida estimula a atividade, permitindo que você esqueça o sono e se concentre nas ações. Um efeito rápido que despertará os instintos e não permitirá que enfraqueçam.","捷豹的掠奪性能量是為那些想充分利用他們的時間的人設計的。 飲料的沖擊成分刺激活動，讓您忘記睡眠並專注于行動。 一個快速的效果，將喚醒你的本能，不會讓你削弱。",

"STR_TERJEDRINK_PRAYBOY_NAME","PrayBoy® Energy Drink","PrayBoy® Energy Drink","Prayboy®","Der PrayBoy® Energieträger","Энергетик PrayBoy®","Energetyk PrayBoy®","Prayboy Ons Energy Drink","Prayboy®","Energía PrayBoy®","Boisson Énergisante PrayBoy®","PrayBoy® 能量飲料","PrayBoy®エナジードリンク","Energia PrayBoy®","PrayBoy®能量饮料",
"STR_TERJEDRINK_PRAYBOY_DESC","A powerful energizer for those who want to stay on their feet and be alert even in the most extreme conditions. PrayBoy instantly energizes, removing fatigue and reducing the need for sleep. Legendary taste and time-tested effect!","A powerful energizer for those who want to stay on their feet and be alert even in the most extreme conditions. PrayBoy instantly energizes, removing fatigue and reducing the need for sleep. Legendary taste and time-tested effect!","Silná energie pro ty, kteří se chtějí držet na nohou a být ve střehu i v těch nejextrémnějších podmínkách. PrayBoy okamžitě nabíjí energií, odstraňuje únavu a snižuje potřebu spánku. Legendární chuť a efekt prověřený časem!","Ein kraftvoller Energieträger für diejenigen, die selbst unter den extremsten Bedingungen auf den Beinen bleiben und wachsam sein wollen. PrayBoy lädt sofort Energie auf, entfernt Müdigkeit und reduziert das Bedürfnis nach Schlaf. Legendärer Geschmack und bewährter Effekt!","Мощный энергетик для тех, кто хочет держаться на ногах и быть начеку даже в самых экстремальных условиях. PrayBoy моментально заряжает энергией, убирая усталость и снижая потребность во сне. Легендарный вкус и эффект, проверенный временем!","Potężny energetyk dla tych, którzy chcą pozostać na nogach i czujni nawet w najbardziej ekstremalnych warunkach. PrayBoy natychmiast dodaje energii, eliminując zmęczenie i zmniejszając potrzebę snu. Legendarny smak i sprawdzone efekty!","Erőteljes energizáló azok számára, akik a legszélsőségesebb körülmények között is éberek akarnak maradni. A PrayBoy azonnal energiát ad, eltávolítja a fáradtságot és csökkenti az alvás szükségességét. Legendás íz és időigényes hatás!","Potente energia per coloro che vogliono stare in piedi e stare all'erta anche nelle condizioni più estreme. PrayBoy è immediatamente energizzante, rimuovendo la fatica e riducendo la necessità di dormire. Gusto ed effetto Leggendari, testati nel tempo!","Potente energía para aquellos que quieren mantenerse en pie y estar alerta incluso en las condiciones más extremas. PrayBoy energiza al instante, eliminando la fatiga y reduciendo la necesidad de dormir. ¡Sabor y efecto legendarios, probados por el tiempo!","Un puissant énergisant pour ceux qui veulent rester debout et vigilants même dans les conditions les plus extrêmes. PrayBoy énergise instantanément, éliminant la fatigue et réduisant le besoin de sommeil. Goût légendaire et effet éprouvé !","對于那些想站穩腳跟並在最極端的條件下保持警惕的人來說，這是一個強大的能量源。 PrayBoy立即充滿活力，消除疲勞，減少睡眠需求。 傳奇的味道和久經考驗的效果！","自分の足に滞在し、最も極端な条件でも警戒したい人のための強力なエナジャイザー。 PrayBoyは即座に活力を与え、疲労を取り除き、睡眠の必要性を減らします。 伝説の味と時の試練を経た効果！","Energia poderosa para aqueles que querem ficar de pé e estar alerta, mesmo nas condições mais extremas. PrayBoy energiza instantaneamente, eliminando a fadiga e reduzindo a necessidade de sono. Sabor e efeito lendários testados pelo tempo!","对于那些想站稳脚跟并在最极端的条件下保持警惕的人来说，这是一个强大的能量源。 PrayBoy立即充满活力，消除疲劳，减少睡眠需求。 传奇的味道和久经考验的效果！",
