Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_TERJESKILL_BOOK_ATHLETIC1,1. Athletics for Beginners,1. Athletics for Beginners,Atletika pro začátečníky,1. Leichtathletik für Anfänger,Легкая атлетика для начинающих,Lekkoatletyka dla początkujących,Atlétika kezdőknek,Atletica leggera per principianti,Atletismo para principiantes,Athlétisme pour débutants,入門運動訓練,初心者のための陸上競技,Atletismo para iniciantes,初學者的體能訓練
STR_TERJESKILL_BOOK_ATHLETIC2,2. Athletics Fundamentals,2. Athletics Fundamentals,Atletika pro pokročilé začátečníky,2. Grundlagen der Leichtathletik,Легкая атлетика для продвинутых новичков,Lekkoatletyka dla zaawansowanych początkujących,Atlétika haladó kezdőknek,Atletica leggera per principianti avanzati,Atletismo para principiantes avanzados,Athlétisme pour les débutants avancés,進階入門運動訓練,上級初心者のための陸上競技,Atletismo para iniciantes avançados,高级初学者田径
STR_TERJESKILL_BOOK_ATHLETIC3,3. Advanced Athletics Techniques,3. Advanced Athletics Techniques,Atletika na střední úrovni,3. Fortgeschrittene Leichtathletiktechniken,Легкая атлетика для среднего уровня,Lekkoatletyka dla średnio zaawansowanych,Atlétika a középszintű,Atletica leggera di livello intermedio,Atletismo de nivel medio,Athlétisme de niveau intermédiaire,中級運動訓練,中級レベルのための陸上競技,Atletismo para nível intermediário,中级水平的田径
STR_TERJESKILL_BOOK_ATHLETIC4,4. Professional Athletics Strategies,4. Professional Athletics Strategies,Atletika pro zkušené,4. Strategien im Profisport,Легкая атлетика для опытных,Lekkoatletyka dla doświadczonych,Atlétika a tapasztalt,Atletica leggera per esperti,Atletismo para experimentados,Athlétisme pour les expérimentés,高級運動訓練,経験者のための陸上競技,Atletismo para experientes,有经验的田径
STR_TERJESKILL_BOOK_ATHLETIC5,5. Expert-Level Athletics,5. Expert-Level Athletics,Atletika pro odborníky,5. Leichtathletik auf Expertenniveau,Легкая атлетика для экспертов,Lekkoatletyka dla ekspertów,Atlétika szakértők számára,Atletica leggera per esperti,Atletismo para expertos,Athlétisme pour les experts,專家級運動訓練,専門家のための陸上競技,Atletismo para especialistas,专家田径运动
STR_TERJESKILL_BOOK_FISHING1,1. Fishing for Beginners,1. Fishing for Beginners,Sportovní rybaření pro začátečníky,1. Angeln für Anfänger,Спортивная рыбалка для новичков,Wędkarstwo sportowe dla początkujących,Sporthorgászat kezdőknek,Pesca sportiva per principianti,Pesca deportiva para principiantes,Pêche sportive pour les débutants,入門魚技巧,初心者のためのスポーツ釣り,Pesca esportiva para iniciantes,适合初学者的钓鱼运动
STR_TERJESKILL_BOOK_FISHING2,2. Fishing Fundamentals,2. Fishing Fundamentals,Sportovní rybolov pro pokročilé začátečníky,2. Grundlagen des Angelns,Спортивная рыбалка для продвинутых начинающих,Wędkarstwo sportowe dla zaawansowanych początkujących,Sporthorgászat haladó kezdőknek,Pesca sportiva per principianti avanzati,Pesca deportiva para principiantes avanzados,Pêche sportive pour les débutants avancés,進階入門釣魚技巧,高度な初心者のためのスポーツ釣り,Pesca esportiva para iniciantes avançados,为高级初学者而设的运动钓鱼
STR_TERJESKILL_BOOK_FISHING3,3. Advanced Fishing Techniques,3. Advanced Fishing Techniques,Sportovní rybolov na střední úrovni,3. Fortgeschrittene Angeltechniken,Спортивная рыбалка для среднего уровня,Wędkarstwo sportowe dla średnio zaawansowanych,Sporthorgászat az átlagos szintre,Pesca sportiva di medio livello,Pesca deportiva de nivel medio,Pêche sportive de niveau intermédiaire,中級釣魚技巧,平均的なレベルのためのスポーツ釣り,Pesca esportiva de nível médio,运动钓鱼的平均水平
STR_TERJESKILL_BOOK_FISHING4,4. Professional Fishing Strategies,4. Professional Fishing Strategies,Sportovní rybaření pro zkušené,4. Professionelle Angelstrategien,Спортивная рыбалка для опытных,Wędkarstwo sportowe dla doświadczonych,Sporthorgászat a tapasztaltaknak,Pesca sportiva per esperti,Pesca deportiva para experimentados,Pêche sportive pour les expérimentés,高級釣魚技巧,経験豊富な人のためのスポーツ釣り,Pesca esportiva para experientes,有经验的钓鱼运动
STR_TERJESKILL_BOOK_FISHING5,5. Expert-Level Fishing,5. Expert-Level Fishing,Sportovní rybolov pro odborníky,5. Angeln auf Expertenniveau,Спортивная рыбалка для экспертов,Wędkarstwo sportowe dla ekspertów,Sporthorgászat szakértőknek,Pesca sportiva per esperti,Pesca deportiva para expertos,Pêche sportive pour les experts,專家級釣魚技巧,専門家のためのスポーツ釣り,Pesca esportiva para especialistas,专为专家而设的运动钓鱼
